job_id,pending_time,total_executed_time,progress,submit_time,end_time,preempt,resume,num_gpu,expect_time,expect_time_list,expect_value_list,miss_ddl,gt_miss_ddl,gt_expect_time,best_effort,duration,queue_priority
98,68,5975,5975.0,3767212,3773255.5,24,25,4,6404,6404,10,0.0,0,6404,0,5938,1
99,24,1262,1262.0,3767256,3768542.0,5,6,4,1293,1293,10,0.0,0,1293,0,1253,1
100,10,1262,1262.0,3767270,3768542.0,5,6,4,1432,1432,10,0.0,0,1432,0,1253,1
101,79920,192681,192681.0,3767280,4039881.5,802,803,4,174786,174786,10,1,1,174786,0,191477,-1
102,18239,28,28.0,3767281,3785548.5,0,1,4,21,21,10,1,1,21,0,27,-1
103,36943,169448,169448.0,3767297,3973688.5,706,707,4,101229,101229,10,1,1,101229,0,168388,-1
104,18694,28,28.0,3767306,3786028.5,0,1,4,38,38,10,1,1,38,0,27,-1
105,18693,28,28.0,3767307,3786028.5,0,1,4,16,16,10,1,1,16,0,27,-1
106,19173,1598,1598.0,3767307,3788078.5,6,7,4,1485,1485,10,1,1,1485,0,1588,-1
107,213,1598,1598.0,3767307,3769118.5,6,7,4,1926,1926,10,0.0,0,1926,0,1588,1
108,45804,192681,192681.0,3767316,4005801.5,802,803,4,140694,140694,10,1,1,140694,0,191477,-1
109,18866,28,28.0,3767614,3786508.5,0,1,4,33,33,10,1,1,33,0,27,-1
110,36887,97263,97263.0,3770473,3904623.0,202,203,8,144647,144773,10,0.0,0,144773,0,96857,0
111,8807,2502,2502.0,3770473,3781782.0,10,11,8,2066,2066,10,1,1,2066,0,2480,-1
112,8085,3916,3916.0,3770475,3782476.0,16,17,8,2932,2932,10,1,1,2932,0,3882,-1
113,3818,33311,33311.0,3772342,3809471.0,69,70,1,40778,40802,10,0.0,0,40802,0,33276,0
114,39,5656,5656.0,3774441,3780136.0,23,24,1,5813,5813,10,0.0,0,5813,0,5644,1
115,63498,708287,708287.0,3776502,4548287.0,1475,1476,1,843738,843768,10,0.0,0,843768,0,707549,0
116,8678,11813,11813.0,3776602,3797093.0,49,50,2,7206,7206,10,1,1,7206,0,11763,-1
117,190369,622317,622317.0,3786671,4599357.5,1296,1297,1,876049,876073,10,0.0,0,876073,0,621669,0
118,586,3516,3516.0,3789974,3794076.0,7,8,8,4906,5115,10,0.0,0,5115,0,3500,0
119,172,68,68.0,3796868,3797108.0,0,1,8,48,48,10,1,1,48,0,66,-1
120,118288,33345,33345.0,3801152,3952785.5,138,139,1,24421,24421,10,1,1,24421,0,33276,-1
121,198,13979,13979.0,3805242,3819419.5,58,59,1,14267,14267,10,0.0,0,14267,0,13950,1
122,56058,24061,24061.0,3809382,3889501.0,100,101,8,22297,22297,10,1,1,22297,0,23859,-1
123,53658,3530,3530.0,3809382,3866570.0,14,15,8,3407,3407,10,1,1,3407,0,3500,-1
124,51978,2502,2502.0,3809382,3863862.0,10,11,8,1546,1546,10,1,1,1546,0,2480,-1
125,137,24061,24061.0,3809383,3833581.0,100,101,8,29253,29253,10,0.0,0,29253,0,23859,1
126,53656,2502,2502.0,3809384,3865542.0,10,11,8,2581,2581,10,1,1,2581,0,2480,-1
127,131,97671,97671.0,3809389,3907191.0,406,407,8,116233,116233,10,0.0,0,116233,0,96857,1
128,4196,28937,28937.0,3813244,3846377.5,60,61,1,36356,36540,10,0.0,0,36540,0,28907,0
129,99462,5656,5656.0,3813258,3918376.0,23,24,1,4833,4833,10,1,1,4833,0,5644,-1
130,36,23045,23045.0,3815724,3838805.5,96,97,1,24366,24366,10,0.0,0,24366,0,22997,1
131,45267,85949,85949.0,3818013,3949229.0,358,359,8,78749,78749,10,1,1,78749,0,85231,-1
132,21026,97671,97671.0,3818014,3936711.0,406,407,8,67342,67342,10,1,1,67342,0,96857,-1
133,48866,68,68.0,3818014,3866948.0,0,1,8,54,54,10,1,1,54,0,66,-1
134,13,2502,2502.0,3818147,3820662.0,10,11,8,3457,3457,10,0.0,0,3457,0,2480,1
135,13,3530,3530.0,3818147,3821690.0,14,15,8,4576,4576,10,0.0,0,4576,0,3500,1
136,32305,97263,97263.0,3818255,3947823.0,202,203,8,140065,140258,10,0.0,0,140258,0,96857,0
137,51504,2502,2502.0,3818256,3872262.0,10,11,8,2590,2590,10,1,1,2590,0,2480,-1
138,18046,17301,17301.0,3821474,3856821.5,72,73,16,10608,10608,10,1,1,10608,0,17119,-1
139,25235,497,497.0,3821725,3847457.5,2,3,16,524,524,10,1,1,524,0,490,-1
140,25574,1349,1349.0,3822106,3849029.0,5,6,16,1332,1332,10,1,1,1332,0,1334,-1
